dB, PKT_ID, RSSI
10, 0, -79.5
10, 1, -80.0
10, 2, -79.5
10, 3, -79.5
10, 4, -79.0
10, 5, -79.0
10, 6, -78.5
10, 7, -79.0
10, 8, -79.5
10, 9, -80.0
10, 10, -79.5
10, 11, -78.5
10, 12, -78.0
10, 13, -78.5
10, 14, -80.0
10, 15, -79.5
10, 16, -78.0
10, 17, -79.0
10, 18, -79.5
10, 19, -79.5
10, 20, -80.0
10, 21, -79.0
10, 22, -80.0
10, 23, -79.0
10, 24, -80.0
10, 25, -79.0
10, 26, -78.0
10, 27, -79.0
10, 28, -80.0
10, 29, -78.0
10, 30, -78.0
10, 31, -78.0
10, 32, -78.0
10, 33, -79.0
10, 34, -79.0
10, 35, -78.0
10, 36, -78.0
10, 37, -78.0
10, 38, -78.0
10, 39, -79.0
10, 40, -78.0
10, 41, -78.5
10, 42, -79.0
10, 43, -78.0
10, 44, -77.5
10, 45, -78.0
10, 46, -78.5
10, 47, -78.0
10, 49, -78.5
10, 50, -78.5
10, 51, -78.5
10, 52, -78.0
10, 53, -78.0
10, 54, -79.0
10, 55, -78.0
10, 56, -78.0
10, 57, -78.5
10, 58, -79.0
10, 59, -78.0
10, 60, -78.0
10, 61, -78.0
10, 62, -78.0
10, 63, -78.5
10, 64, -79.5
10, 65, -79.0
10, 66, -77.5
10, 67, -79.0
10, 68, -78.0
10, 69, -79.0
10, 70, -78.5
10, 71, -78.0
10, 72, -79.5
10, 73, -79.0
10, 74, -78.5
10, 75, -79.0
10, 76, -78.0
10, 77, -78.5
10, 78, -79.5
10, 79, -78.5
10, 80, -78.0
10, 81, -78.0
10, 82, -78.0
10, 83, -78.0
10, 84, -78.0
10, 85, -77.5
10, 86, -78.0
10, 87, -79.5
10, 88, -78.0
10, 89, -78.0
10, 90, -78.0
10, 91, -78.0
10, 92, -78.5
10, 93, -78.5
10, 94, -79.0
10, 95, -78.0
10, 96, -78.0
10, 97, -78.0
10, 98, -77.5
10, 99, -78.5
