dB, PKT_ID, RSSI
-50, 0, -79.5
-50, 1, -80.0
-50, 2, -79.5
-50, 3, -79.5
-50, 4, -79.0
-50, 5, -79.0
-50, 6, -78.5
-50, 7, -79.0
-50, 8, -79.5
-50, 9, -80.0
-50, 10, -79.5
-50, 11, -78.5
-50, 12, -78.0
-50, 13, -78.5
-50, 14, -80.0
-50, 15, -79.5
-50, 16, -78.0
-50, 17, -79.0
-50, 18, -79.5
-50, 19, -79.5
-50, 20, -80.0
-50, 21, -79.0
-50, 22, -80.0
-50, 23, -79.0
-50, 24, -80.0
-50, 25, -79.0
-50, 26, -78.0
-50, 27, -79.0
-50, 28, -80.0
-50, 29, -78.0
-50, 30, -78.0
-50, 31, -78.0
-50, 32, -78.0
-50, 33, -79.0
-50, 34, -79.0
-50, 35, -78.0
-50, 36, -78.0
-50, 37, -78.0
-50, 38, -78.0
-50, 39, -79.0
-50, 40, -78.0
-50, 41, -78.5
-50, 42, -79.0
-50, 43, -78.0
-50, 44, -77.5
-50, 45, -78.0
-50, 46, -78.5
-50, 47, -78.0
-50, 49, -78.5
-50, 50, -78.5
