RCVD: PKT_ID 0, from 1l
RCVD, RSSI level:  -79.50dB
RCVD, TX power:  0.00dB

##RX|0|1l|0|-79.50|0.00|1475584066132|XR##

RCVD: PKT_ID 1, from 1l
RCVD, RSSI level:  -80.00dB
RCVD, TX power:  0.00dB

##RX|1|1l|0|-80.00|0.00|1475584066151|XR##

RCVD: PKT_ID 2, from 1l
RCVD, RSSI level:  -79.50dB
RCVD, TX power:  0.00dB

##RX|2|1l|0|-79.50|0.00|1475584066168|XR##

RCVD: PKT_ID 3, from 1l
RCVD, RSSI level:  -79.50dB
RCVD, TX power:  0.00dB

##RX|3|1l|0|-79.50|0.00|1475584066186|XR##

RCVD: PKT_ID 4, from 1l
RCVD, RSSI level:  -79.00dB
RCVD, TX power:  0.00dB

##RX|4|1l|0|-79.00|0.00|1475584066205|XR##

RCVD: PKT_ID 5, from 1l
RCVD, RSSI level:  -79.00dB
RCVD, TX power:  0.00dB

##RX|5|1l|0|-79.00|0.00|1475584066223|XR##

RCVD: PKT_ID 6, from 1l
RCVD, RSSI level:  -78.50dB
RCVD, TX power:  0.00dB

##RX|6|1l|0|-78.50|0.00|1475584066242|XR##

RCVD: PKT_ID 7, from 1l
RCVD, RSSI level:  -79.00dB
RCVD, TX power:  0.00dB

##RX|7|1l|0|-79.00|0.00|1475584066260|XR##

RCVD: PKT_ID 8, from 1l
RCVD, RSSI level:  -79.50dB
RCVD, TX power:  0.00dB

##RX|8|1l|0|-79.50|0.00|1475584066279|XR##

RCVD: PKT_ID 9, from 1l
RCVD, RSSI level:  -80.00dB
RCVD, TX power:  0.00dB

##RX|9|1l|0|-80.00|0.00|1475584066297|XR##

RCVD: PKT_ID 10, from 1l
RCVD, RSSI level:  -79.50dB
RCVD, TX power:  0.00dB

##RX|10|1l|0|-79.50|0.00|1475584066318|XR##

RCVD: PKT_ID 11, from 1l
RCVD, RSSI level:  -78.50dB
RCVD, TX power:  0.00dB

##RX|11|1l|0|-78.50|0.00|1475584066336|XR##

RCVD: PKT_ID 12, from 1l
RCVD, RSSI level:  -78.00dB
RCVD, TX power:  0.00dB

##RX|12|1l|0|-78.00|0.00|1475584066355|XR##

RCVD: PKT_ID 13, from 1l
RCVD, RSSI level:  -78.50dB
RCVD, TX power:  0.00dB

##RX|13|1l|0|-78.50|0.00|1475584066375|XR##

RCVD: PKT_ID 14, from 1l
RCVD, RSSI level:  -80.00dB
RCVD, TX power:  0.00dB

##RX|14|1l|0|-80.00|0.00|1475584066392|XR##

RCVD: PKT_ID 15, from 1l
RCVD, RSSI level:  -79.50dB
RCVD, TX power:  0.00dB

##RX|15|1l|0|-79.50|0.00|1475584066411|XR##

RCVD: PKT_ID 16, from 1l
RCVD, RSSI level:  -78.00dB
RCVD, TX power:  0.00dB

##RX|16|1l|0|-78.00|0.00|1475584066429|XR##

RCVD: PKT_ID 17, from 1l
RCVD, RSSI level:  -79.00dB
RCVD, TX power:  0.00dB

##RX|17|1l|0|-79.00|0.00|1475584066448|XR##

RCVD: PKT_ID 18, from 1l
RCVD, RSSI level:  -79.50dB
RCVD, TX power:  0.00dB

##RX|18|1l|0|-79.50|0.00|1475584066465|XR##

RCVD: PKT_ID 19, from 1l
RCVD, RSSI level:  -79.50dB
RCVD, TX power:  0.00dB

##RX|19|1l|0|-79.50|0.00|1475584066485|XR##

RCVD: PKT_ID 20, from 1l
RCVD, RSSI level:  -80.00dB
RCVD, TX power:  0.00dB

##RX|20|1l|0|-80.00|0.00|1475584066502|XR##

RCVD: PKT_ID 21, from 1l
RCVD, RSSI level:  -79.00dB
RCVD, TX power:  0.00dB

##RX|21|1l|0|-79.00|0.00|1475584066521|XR##

RCVD: PKT_ID 22, from 1l
RCVD, RSSI level:  -80.00dB
RCVD, TX power:  0.00dB

##RX|22|1l|0|-80.00|0.00|1475584066541|XR##

RCVD: PKT_ID 23, from 1l
RCVD, RSSI level:  -79.00dB
RCVD, TX power:  0.00dB

##RX|23|1l|0|-79.00|0.00|1475584066559|XR##

RCVD: PKT_ID 24, from 1l
RCVD, RSSI level:  -80.00dB
RCVD, TX power:  0.00dB

##RX|24|1l|0|-80.00|0.00|1475584066579|XR##

RCVD: PKT_ID 25, from 1l
RCVD, RSSI level:  -79.00dB
RCVD, TX power:  0.00dB

##RX|25|1l|0|-79.00|0.00|1475584066596|XR##

RCVD: PKT_ID 26, from 1l
RCVD, RSSI level:  -78.00dB
RCVD, TX power:  0.00dB

##RX|26|1l|0|-78.00|0.00|1475584066615|XR##

RCVD: PKT_ID 27, from 1l
RCVD, RSSI level:  -79.00dB
RCVD, TX power:  0.00dB

##RX|27|1l|0|-79.00|0.00|1475584066633|XR##

RCVD: PKT_ID 28, from 1l
RCVD, RSSI level:  -80.00dB
RCVD, TX power:  0.00dB

##RX|28|1l|0|-80.00|0.00|1475584066653|XR##

RCVD: PKT_ID 29, from 1l
RCVD, RSSI level:  -78.00dB
RCVD, TX power:  0.00dB

##RX|29|1l|0|-78.00|0.00|1475584066671|XR##

RCVD: PKT_ID 30, from 1l
RCVD, RSSI level:  -78.00dB
RCVD, TX power:  0.00dB

##RX|30|1l|0|-78.00|0.00|1475584066689|XR##

RCVD: PKT_ID 31, from 1l
RCVD, RSSI level:  -78.00dB
RCVD, TX power:  0.00dB

##RX|31|1l|0|-78.00|0.00|1475584066708|XR##

RCVD: PKT_ID 32, from 1l
RCVD, RSSI level:  -78.00dB
RCVD, TX power:  0.00dB

##RX|32|1l|0|-78.00|0.00|1475584066726|XR##

RCVD: PKT_ID 33, from 1l
RCVD, RSSI level:  -79.00dB
RCVD, TX power:  0.00dB

##RX|33|1l|0|-79.00|0.00|1475584066746|XR##

RCVD: PKT_ID 34, from 1l
RCVD, RSSI level:  -79.00dB
RCVD, TX power:  0.00dB

##RX|34|1l|0|-79.00|0.00|1475584066764|XR##

RCVD: PKT_ID 35, from 1l
RCVD, RSSI level:  -78.00dB
RCVD, TX power:  0.00dB

##RX|35|1l|0|-78.00|0.00|1475584066784|XR##

RCVD: PKT_ID 36, from 1l
RCVD, RSSI level:  -78.00dB
RCVD, TX power:  0.00dB

##RX|36|1l|0|-78.00|0.00|1475584066802|XR##

RCVD: PKT_ID 37, from 1l
RCVD, RSSI level:  -78.00dB
RCVD, TX power:  0.00dB

##RX|37|1l|0|-78.00|0.00|1475584066821|XR##

RCVD: PKT_ID 38, from 1l
RCVD, RSSI level:  -78.00dB
RCVD, TX power:  0.00dB

##RX|38|1l|0|-78.00|0.00|1475584066839|XR##

RCVD: PKT_ID 39, from 1l
RCVD, RSSI level:  -79.00dB
RCVD, TX power:  0.00dB

##RX|39|1l|0|-79.00|0.00|1475584066858|XR##

RCVD: PKT_ID 40, from 1l
RCVD, RSSI level:  -78.00dB
RCVD, TX power:  0.00dB

##RX|40|1l|0|-78.00|0.00|1475584066876|XR##

RCVD: PKT_ID 41, from 1l
RCVD, RSSI level:  -78.50dB
RCVD, TX power:  0.00dB

##RX|41|1l|0|-78.50|0.00|1475584066894|XR##

RCVD: PKT_ID 42, from 1l
RCVD, RSSI level:  -79.00dB
RCVD, TX power:  0.00dB

##RX|42|1l|0|-79.00|0.00|1475584066914|XR##

RCVD: PKT_ID 43, from 1l
RCVD, RSSI level:  -78.00dB
RCVD, TX power:  0.00dB

##RX|43|1l|0|-78.00|0.00|1475584066932|XR##

RCVD: PKT_ID 44, from 1l
RCVD, RSSI level:  -77.50dB
RCVD, TX power:  0.00dB

##RX|44|1l|0|-77.50|0.00|1475584066952|XR##

RCVD: PKT_ID 45, from 1l
RCVD, RSSI level:  -78.00dB
RCVD, TX power:  0.00dB

##RX|45|1l|0|-78.00|0.00|1475584066970|XR##

RCVD: PKT_ID 46, from 1l
RCVD, RSSI level:  -78.50dB
RCVD, TX power:  0.00dB

##RX|46|1l|0|-78.50|0.00|1475584066990|XR##

RCVD: PKT_ID 47, from 1l
RCVD, RSSI level:  -78.00dB
RCVD, TX power:  0.00dB

##RX|47|1l|0|-78.00|0.00|1475584067008|XR##

RCVD: PKT_ID 49, from 1l
RCVD, RSSI level:  -78.50dB
RCVD, TX power:  0.00dB

##RX|49|1l|0|-78.50|0.00|1475584067045|XR##

RCVD: PKT_ID 50, from 1l
RCVD, RSSI level:  -78.50dB
RCVD, TX power:  0.00dB

##RX|50|1l|0|-78.50|0.00|1475584067064|XR##
